PERMNO,TICKER,COMNAM,PERMCO,gvkey
85269,VLO,VALERO ENERGY CORP NEW,32066,15247
85348,YUM,YUM BRANDS INC,32093,65417
85459,CHRW,CH ROBINSON WORLDWIDE INC,15758,65609
85592,PLD,PROLOGIS INC,32135,29984
85621,MTD,METTLER TOLEDO INTERNATIONAL INC,32158,65772
85631,ADSK,AUTODESK INC,7623,1878
85663,URI,UNITED RENTALS INC,32191,66065
85753,VRSN,VERISIGN INC,15940,66368
85792,PWR,QUANTA SERVICES INC,34660,66446
85913,MAR,MARRIOTT INTERNATIONAL INC NEW,30005,28930
85914,BBY,BEST BUY COMPANY INC,7506,2184
85926,SEE,SEALED AIR CORP NEW,34702,9555
86111,AMT,AMERICAN TOWER CORP NEW,34770,105365
86136,SRE,SEMPRA ENERGY,34798,8272
86158,CTSH,COGNIZANT TECHNOLOGY SOLS CORP,16167,111864
86228,RSG,REPUBLIC SERVICES INC,34838,112168
86339,CCI,CROWN CASTLE INTL CORP NEW,16268,113490
86356,EBAY,EBAY INC,16285,114524
86580,NVDA,NVIDIA CORP,16382,117768
86783,BKNG,BOOKING HOLDINGS INC,16454,119314
86868,GS,GOLDMAN SACHS GROUP INC,35048,114628
86964,FFIV,F 5 NETWORKS INC,16561,121077
86979,JNPR,JUNIPER NETWORKS INC,16614,121718
86996,SBAC,S B A COMMUNICATIONS CORP NEW,16584,121382
87055,COST,COSTCO WHOLESALE CORP NEW,7882,29028
87137,DVN,DEVON ENERGY CORP NEW,35222,14934
87267,BLK,BLACKROCK INC,36336,124434
87299,AKAM,AKAMAI TECHNOLOGIES INC,17300,125595
87432,A,AGILENT TECHNOLOGIES INC,36364,126554
87447,UPS,UNITED PARCEL SERVICE INC,36383,10920
87541,PKG,PACKAGING CORP AMERICA,23511,128978
87657,EW,EDWARDS LIFESCIENCES CORP,36952,133366
87717,EXPD,EXPEDITORS INTERNATIONAL WA INC,7232,4494
87842,MET,METLIFE INC,37138,133768
88031,MNST,MONSTER BEVERAGE CORP NEW,7902,24316
88352,ISRG,INTUITIVE SURGICAL INC,37727,136725
88446,ILMN,ILLUMINA INC,37938,138205
88661,TPR,TAPESTRY INC,40143,140541
88664,JKHY,HENRY JACK & ASSOC INC,7864,11811
88837,GRMN,GARMIN LTD,41059,141459
88860,ALGN,ALIGN TECHNOLOGY INC,41154,141384
88873,GPN,GLOBAL PAYMENTS INC,41168,141913
89002,ADS,ALLIANCE DATA SYSTEMS CORP,41671,143974
89003,FIS,FIDELITY NATIONAL INFO SVCS INC,41673,165993
89006,MDLZ,MONDELEZ INTERNATIONAL INC,41680,142953
89017,WLTW,WILLIS TOWERS WATSON PUB LTD CO,41694,144009
89070,ZBH,ZIMMER BIOMET HOLDINGS INC,41870,144559
89071,ACN,ACCENTURE PLC IRELAND,41871,143357
89155,MKC,MCCORMICK & CO INC,2801,7146
89179,ANTM,ANTHEM INC,42273,145046
89195,PFG,PRINCIPAL FINANCIAL GROUP INC,42285,145701
89217,AAP,ADVANCE AUTO PARTS INC,42402,145977
89258,PRU,PRUDENTIAL FINANCIAL INC,42524,143356
89269,CNC,CENTENE CORP DEL,42540,145552
89393,NFLX,NETFLIX INC,43145,147579
89508,KMX,CARMAX INC,43519,64410
89509,XEC,CIMAREX ENERGY CO,43520,150699
89525,CMCSA,COMCAST CORP NEW,43613,3226
89533,WYNN,WYNN RESORTS LTD,43620,149318
89617,EQIX,EQUINIX INC,38419,138743
89626,CME,C M E GROUP INC,43791,149070
89641,STX,SEAGATE TECHNOLOGY PLC,43807,150937
89731,LEN,LENNAR CORP,21095,6669
89866,LKQ,L K Q CORP,44497,155394
90038,AIZ,ASSURANT INC,44893,157057
90071,NRG,N R G ENERGY INC,37496,135990
90199,CBRE,C B R E GROUP INC,45270,260774
90215,CRM,SALESFORCE COM INC,45288,157855
90272,WCG,WELLCARE HEALTH PLANS INC,45394,260778
90305,EXR,EXTRA SPACE STORAGE INC,45469,160479
90319,GOOGL,ALPHABET INC,45483,160329
90373,DLR,DIGITAL REALTY TRUST INC,45684,160991
90386,MOS,MOSAIC COMPANY NEW,45695,162129
90441,FOXA,TWENTY FIRST CENTURY FOX INC,21287,34636
90442,FOX,TWENTY FIRST CENTURY FOX INC,21287,34636
90454,MKTX,MARKETAXESS HLDGS INC,45878,158742
90505,LVS,LAS VEGAS SANDS CORP,46024,161844
90520,CE,CELANESE CORP DEL,46091,162254
90562,TAP,MOLSON COORS BREWING CO,33,3505
90601,NDAQ,NASDAQ INC,46282,149337
90805,DISCA,DISCOVERY INC,47011,164296
90808,EXPE,EXPEDIA GROUP INC,47013,126296
90829,CF,C F INDUSTRIES HOLDINGS INC,47183,163946
90880,AMP,AMERIPRISE FINANCIAL INC,47422,164708
90979,UAA,UNDER ARMOUR INC,48779,165052
90993,ICE,INTERCONTINENTALEXCHANGE GRP INC,48793,163610
91041,LYV,LIVE NATION ENTERTAINMENT INC,50016,165746
91068,CMG,CHIPOTLE MEXICAN GRILL INC,50184,165914
91103,UAL,UNITED CONTINENTAL HOLDINGS INC,21793,10795
91152,TDG,TRANSDIGM GROUP INC,50481,148349
91233,MA,MASTERCARD INC,50700,160225
91416,HBI,HANESBRANDS INC,51096,175319
91461,WU,WESTERN UNION CO,51196,175263
91547,LDOS,LEIDOS HOLDINGS INC,51338,165123
91556,ROST,ROSS STORES INC,7684,9248
91668,IPGP,I P G PHOTONICS CORP,51555,175955
91849,BR,BROADRIDGE FINANCIAL SOLUTNS INC,51962,176928
91926,DAL,DELTA AIR LINES INC,20569,3851
91937,TMUS,T MOBILE U S INC,52120,17874
92121,DFS,DISCOVER FINANCIAL SERVICES,52396,177376
92157,TEL,T E CONNECTIVITY LTD,52418,177267
92239,CXO,CONCHO RESOURCES INC,52684,177884
92322,ULTA,ULTA BEAUTY INC,52788,178704
92402,MSCI,M S C I INC,52840,178507
92602,PM,PHILIP MORRIS INTERNATIONAL INC,52978,179621
92611,V,VISA INC,52983,179534
92614,AWK,AMERICAN WATER WORKS CO INC,52985,179437
92655,UNH,UNITEDHEALTH GROUP INC,7267,10903
92778,DISCK,DISCOVERY INC,47011,164296
93002,AVGO,BROADCOM INC,53196,180711
93089,VRSK,VERISK ANALYTICS INC,53256,180652
93096,DG,DOLLAR GENERAL CORP NEW,53264,4016
93132,FTNT,FORTINET INC,53286,183377
93429,CBOE,C B O E GLOBAL MARKETS INC,53447,184500
